index,업태구분명,사업장명,소재지전체주소,좌표정보(x),좌표정보(y),인허가일자,시설총규모
9984,한식,동방가든,강원특별자치도 춘천시 남면 박암리 503-1,247329.404006726,469190.737446018,2009-02-26,106.18
9985,탕류(보신용),중앙녹각삼계탕,강원특별자치도 춘천시 중앙로2가 77-1,263776.238323747,486527.974954387,2009-02-27,97.2
9986,한식,토속순대국,강원특별자치도 춘천시 남산면 창촌리 50-2,256935.519253282,476563.304195224,2009-03-05,119.46
9987,식육(숯불구이),고기마을,강원특별자치도 춘천시 동면 장학리 96-1,267461.257855172,488723.305927068,2009-03-06,131.0
9988,한식,남부해장국,강원특별자치도 춘천시 퇴계동 1183-1,263559.691187239,485093.090551369,2009-03-06,265.6
9989,기타,부산산꼼장어,강원특별자치도 춘천시 석사동 735-11,266149.94658387,485101.614711844,2010-08-25,113.01
9990,식육(숯불구이),송암골막국수닭갈비,강원특별자치도 춘천시 송암동 750-1 (1층),260497.265607594,483553.657955097,2010-08-26,218.93
9991,정종/대포집/소주방,경양미가,강원특별자치도 춘천시 석사동 736-17,266135.730729588,485176.572651374,2010-08-27,46.96
9992,한식,남문,강원특별자치도 춘천시 남산면 방하리 198,246222.531678854,476683.992337235,2011-04-04,192.5
9993,한식,래금힐파크,강원특별자치도 춘천시 사북면 고탄리 890,263639.406936296,497836.089670503,2011-04-04,27.78
9994,패스트푸드,딴지펍,강원특별자치도 춘천시 남산면 방하리 198-7 남이섬,246284.647269754,476541.468014701,2011-04-08,126.0
9995,식육(숯불구이),낭만춘천숯불닭갈비,강원특별자치도 춘천시 중앙로2가 99 외3필지,263878.756042331,486670.977286673,2011-04-11,69.48
9996,한식,우리순대국,강원특별자치도 춘천시 석사동 654-4,265096.339474285,484337.513408153,2011-04-13,61.32
9997,한식,미반,강원특별자치도 춘천시 우두동 702-1,264390.10188011,489120.188430983,2011-12-16,332.8
9998,까페,블레스(Bless),강원특별자치도 춘천시 동내면 거두리 1121-4 (1층),266522.727921649,483784.787798354,2011-12-16,99.71
9999,호프/통닭,청년다방춘천CGV점,강원특별자치도 춘천시 석사동 885-3 (넥서스프라자 107호),265515.316122155,483566.14122817,2011-12-21,86.62
10000,한식,삼시세끼,강원특별자치도 춘천시 효자동 686-4 1층,263860.769208638,485466.106947372,2013-04-05,114.58
10001,식육(숯불구이),마당닭갈비,강원특별자치도 춘천시 남산면 서천리 470-2 1층,247023.245073182,481749.790652782,2013-04-08,24.82
10002,기타,그린비,강원특별자치도 춘천시 동면 장학리 1006-4,266351.963814122,488140.799715287,2013-09-30,74.66
10003,식육(숯불구이),견우성한우,강원특별자치도 춘천시 동내면 거두리 966-4,266406.625254524,483735.169386494,2013-09-30,94.26
10004,한식,그곳에가면,강원특별자치도 춘천시 동내면 거두리 929-3,266028.169105689,483770.66058789,2013-10-01,121.8
10005,식육(숯불구이),동광한우프라자,강원특별자치도 춘천시 운교동 181-2,264455.753606792,486181.178189515,2013-10-02,255.58
10006,한식,망우당,강원특별자치도 춘천시 근화동 711-2,263070.676595147,485994.278169104,2013-10-04,53.4
10007,한식,마루거두점,강원특별자치도 춘천시 동내면 거두리 1108-1,266603.954588837,483986.571305951,2013-10-07,160.63
10008,한식,백세추어탕,강원특별자치도 춘천시 후평동 728-1,265866.67763026,487115.085554926,2013-10-08,99.0
10009,한식,집패대,강원특별자치도 춘천시 조양동 43-1 외 1필지,264094.853409496,486599.486751559,2013-10-08,154.74
10010,기타,더벤티강원대점,강원특별자치도 춘천시 효자동 627-9,265325.640671681,485873.466765023,2013-10-10,27.9
10011,분식,국수나무춘천후평점,강원특별자치도 춘천시 후평동 457,265946.638880132,486703.665240493,2014-01-28,60.52
10012,통닭(치킨),꼬꼬나라,강원특별자치도 춘천시 신동 934-17,263449.602665809,492562.498166253,2002-10-07,35.55
10013,정종/대포집/소주방,효자동솥뚜껑애막골점,강원특별자치도 춘천시 석사동 737-12,266071.85439953,485168.520245108,2004-02-04,96.25
10014,한식,귀틀촌,강원특별자치도 춘천시 동산면 원창리 742,267366.119023105,475477.627184258,2004-11-22,94.9
10015,한식,삽자루든돼지,강원특별자치도 춘천시 후평동 846-1 현대상가 204호,265151.407614774,487090.244872268,2004-11-24,79.38
10016,한식,마포돼지갈비,강원특별자치도 춘천시 퇴계동 944 한주아파트상가 101~105호,264906.022305039,483375.580147211,2004-11-26,139.0
10017,한식,약수터붕어찜,강원특별자치도 춘천시 송암동 702-1,260457.016985315,483624.842929628,2004-12-02,82.08
10018,한식,산촌,강원특별자치도 춘천시 동면 월곡리 475,270188.468022469,490897.788414798,2004-12-03,124.65
10019,한식,조부자매운순대가(만천점),강원특별자치도 춘천시 동면 만천리 896-13,266998.985012558,486600.812414102,2007-06-13,179.52
10020,한식,대판,강원특별자치도 춘천시 효자동 617-7,265168.270609617,485956.046373302,2007-06-18,114.0
10021,한식,흥부곱창,강원특별자치도 춘천시 퇴계동 370-5,264101.90883259,484771.334209785,2007-06-18,47.56
10022,식육(숯불구이),박대감(우두점),강원특별자치도 춘천시 우두동 1056-5,263847.125209576,488856.86609769,2008-04-08,120.48
10023,라이브카페,퍼플,강원특별자치도 춘천시 석사동 923-1 (1층),266092.620703828,483210.984780726,2008-04-08,120.16
10024,호프/통닭,처음처럼,강원특별자치도 춘천시 효자동 646-2,264783.236930353,486219.222647992,2009-11-17,34.02
10025,식육(숯불구이),오리맘,강원특별자치도 춘천시 퇴계동 1182-2,263656.034945232,484985.393316638,2009-11-18,44.3
10026,분식,원,강원특별자치도 춘천시 운교동 184-4,264500.850692493,486372.795444818,2009-11-20,36.0
10027,탕류(보신용),한신흑염소,강원특별자치도 춘천시 후평동 24-11,266084.053414236,485922.212350412,2009-11-25,72.08
10028,식육(숯불구이),남춘천자매닭갈비,강원특별자치도 춘천시 퇴계동 1086,264307.215,484683.235,2009-11-26,167.58
10029,한식,한우내장탕,강원특별자치도 춘천시 퇴계동 905-10 외1필지 (1층),263779.147802136,484416.870600622,2009-11-30,101.4
10030,중국식,하나로반점,강원특별자치도 춘천시 퇴계동 79,264855.838698284,483301.263496797,1994-06-30,0.0
10031,호프/통닭,타임,강원특별자치도 춘천시 후평동 838-11,266119.514844805,486079.996002205,1995-05-27,78.12
10032,호프/통닭,엄마네,강원특별자치도 춘천시 후평동 486-10,265583.700374992,486106.102344414,1998-07-04,27.74
10033,한식,향토숯불닭갈비막국수,강원특별자치도 춘천시 칠전동 622-5,262683.53483665,482136.515434989,1999-01-07,35.93
10034,일식,도쿄스시,"강원특별자치도 춘천시 죽림동 189 3동 3201,호",263954.075694438,486406.885561246,2014-04-09,111.52
10035,식육(숯불구이),가마솥순대국거두점,강원특별자치도 춘천시 동내면 거두리 1075-1,266362.206132947,483896.725258547,2016-09-06,144.75
10036,기타,별카페(cafe),강원특별자치도 춘천시 서면 덕두원리 40-4,259009.44983291,482988.271016929,2020-01-28,180.61
10037,한식,지암가든,강원특별자치도 춘천시 사북면 지암리 127-2,254702.605697072,497487.173499483,1995-06-23,106.04
10038,기타,무사피르(MUSAFIR),강원특별자치도 춘천시 효자동 333-48,264868.994959402,485016.434447666,2022-04-22,79.2
10039,식육(숯불구이),곱분이곱창거두점,강원특별자치도 춘천시 동내면 거두리 946-10,266226.51883445,483663.891332337,2014-10-02,60.46
10040,한식,춘천집,강원특별자치도 춘천시 석사동 635-7,266020.350021632,483645.907421396,2009-11-17,51.03
10041,한식,고담한정식,강원특별자치도 춘천시 동내면 고은리 489-5,268080.149268925,483261.433124533,1998-08-22,69.26
10042,한식,낙지의전설,강원특별자치도 춘천시 퇴계동 499,264333.083979104,483002.405040876,2001-09-26,196.8
10043,한식,유포리막국수,강원특별자치도 춘천시 신북읍 유포리 62-2,268352.304046226,494015.554356437,1993-07-20,284.66
10044,한식,장호막국수.닭갈비,강원특별자치도 춘천시 신북읍 천전리 99-15,268931.66535715,492169.604179294,1999-12-30,178.1
10045,한식,곱분이곱창후평점,강원특별자치도 춘천시 후평동 457-4,265963.224971731,486708.633192073,2013-08-13,87.62
10046,식육(숯불구이),스쿨푸드춘천딜리버리점,강원특별자치도 춘천시 효자동 327 (2동 1층),264779.89516104,484872.382556999,2009-11-02,64.9
10047,일식,스시요혼,강원특별자치도 춘천시 죽림동 189,263954.075694438,486406.885561246,2017-04-18,56.25
10048,한식,조면장장칼국수 통영굴찜,강원특별자치도 춘천시 퇴계동 905-10,263779.147802136,484416.870600622,2018-10-29,72.43
10049,한식,더밥(THEBAB),강원특별자치도 춘천시 온의동 522-4,263333.862510276,484684.290261341,2015-04-16,40.5
